cR,cP,cY,timestamp
-0.11281917641561542,0.007374099135903308,0.14051270501344978,1759343175.8089187
-0.08386667273257573,-0.00572448653531242,0.12061265758854889,1759343175.8306742
-0.06424017069222569,0.0006813928213423234,0.15262095333429376,1759343175.8470464
-0.030223597261567217,-0.0026426540226378165,0.13347331169854582,1759343175.8766704
-0.01337840154301527,-0.01119270463499088,0.09804137496232268,1759343175.893359
0.08547886546201489,-0.02617968028159659,0.09045783915868424,1759343175.9094744
0.08575703433649899,-0.0408699228023809,0.07135095386716987,1759343175.9314122
0.07419447761331559,-0.039476493953392394,0.06785507299784267,1759343175.951877
0.1743103014297878,-0.06245409254349131,0.06505394068166175,1759343175.96917
0.1383487168987692,-0.07083166109676706,0.06251054149780227,1759343175.9841418
0.09326352178817979,-0.05275658310370637,0.06404103672226448,1759343176.0049586
0.16427000228882746,-0.06993624965733478,0.06361109309581922,1759343176.0195403
0.13389362077857064,-0.06655945448271734,0.06111146470168597,1759343176.0403144
0.13118911684609869,-0.06502191161436016,0.057920641555017804,1759343176.059625
0.09753540399041312,-0.053665524238347334,0.05755636796477188,1759343176.0716696
0.07493581946021118,-0.053778366716687634,0.06420784435709313,1759343176.103027
0.10548595020157119,-0.05971173716009785,0.0820994549287602,1759343176.1211848
0.09644181261247864,-0.05293535888097127,0.10914953957739096,1759343176.1381345
0.05652549766808167,-0.04311112911617495,0.11316262277747963,1759343176.151733
0.030982329931109914,-0.033816127500551775,0.12258999433834601,1759343176.1700957
0.011379163311489434,-0.027524600543200217,0.11454168690710706,1759343176.1926503
-0.01312762162516808,-0.0005035740127005625,0.14027980351909108,1759343176.210301
-0.03319760474392637,0.011468384233809643,0.13011600185259908,1759343176.227041
-0.03046925617452502,0.009745872929895313,0.1157259808274728,1759343176.246321
-0.04174497743383284,0.02012407918544942,0.12063384989313694,1759343176.2625475
-0.05319098350523689,0.026136324027228,0.12312253224138645,1759343176.2780025
-0.03816424050855485,0.003299403640553842,0.10444964968536619,1759343176.2991
-0.049293233189380344,0.005153587820449442,0.10109291489328245,1759343176.3171282
